00000057) lambda - 1946.62085; bpp - 0.00117; dists - 0.13277; rdloss - 2.41927; perceptual_64INITIAL - 140.62820; perceptual_256FINAL - 107.47968; gen_gan - 0.31198; feature_matching - 3.76049; disc_gan - 0.45524
00000058) lambda - 1946.62085; bpp - 0.00117; dists - 0.12627; rdloss - 2.40693; perceptual_64INITIAL - 140.31554; perceptual_256FINAL - 106.70315; gen_gan - 0.36825; feature_matching - 4.02687; disc_gan - 0.41679
00000059) lambda - 1946.62085; bpp - 0.00118; dists - 0.12819; rdloss - 2.42498; perceptual_64INITIAL - 140.92508; perceptual_256FINAL - 106.55495; gen_gan - 0.41370; feature_matching - 4.39348; disc_gan - 0.38780
00000060) lambda - 1946.62085; bpp - 0.00117; dists - 0.12151; rdloss - 2.40767; perceptual_64INITIAL - 138.15582; perceptual_256FINAL - 102.30197; gen_gan - 0.44682; feature_matching - 4.56848; disc_gan - 0.34438
00000061) lambda - 1946.62085; bpp - 0.00118; dists - 0.12469; rdloss - 2.42455; perceptual_64INITIAL - 136.93579; perceptual_256FINAL - 102.06191; gen_gan - 0.45135; feature_matching - 4.60446; disc_gan - 0.33932
00000062) lambda - 1946.62085; bpp - 0.00118; dists - 0.12027; rdloss - 2.41795; perceptual_64INITIAL - 136.44406; perceptual_256FINAL - 101.68561; gen_gan - 0.45775; feature_matching - 4.63063; disc_gan - 0.33551
00000063) lambda - 1946.62085; bpp - 0.00119; dists - 0.12299; rdloss - 2.43052; perceptual_64INITIAL - 136.01027; perceptual_256FINAL - 101.52688; gen_gan - 0.46467; feature_matching - 4.67013; disc_gan - 0.33063
00000064) lambda - 1946.62085; bpp - 0.00119; dists - 0.11902; rdloss - 2.42736; perceptual_64INITIAL - 135.62733; perceptual_256FINAL - 100.88064; gen_gan - 0.46711; feature_matching - 4.65405; disc_gan - 0.33030
00000065) lambda - 1946.62085; bpp - 0.00119; dists - 0.12147; rdloss - 2.43450; perceptual_64INITIAL - 135.54117; perceptual_256FINAL - 100.93334; gen_gan - 0.47307; feature_matching - 4.69372; disc_gan - 0.32629
00000066) lambda - 1946.62085; bpp - 0.00119; dists - 0.11938; rdloss - 2.44117; perceptual_64INITIAL - 135.30766; perceptual_256FINAL - 100.87899; gen_gan - 0.47518; feature_matching - 4.72174; disc_gan - 0.32463
00000067) lambda - 1946.62085; bpp - 0.00120; dists - 0.12256; rdloss - 2.45240; perceptual_64INITIAL - 135.19772; perceptual_256FINAL - 100.74977; gen_gan - 0.48147; feature_matching - 4.74077; disc_gan - 0.32076
00000068) lambda - 1946.62085; bpp - 0.00120; dists - 0.12242; rdloss - 2.45020; perceptual_64INITIAL - 135.45352; perceptual_256FINAL - 100.93371; gen_gan - 0.48622; feature_matching - 4.76648; disc_gan - 0.31736
00000069) lambda - 1946.62085; bpp - 0.00120; dists - 0.12066; rdloss - 2.45196; perceptual_64INITIAL - 134.57137; perceptual_256FINAL - 100.57264; gen_gan - 0.48759; feature_matching - 4.77812; disc_gan - 0.31748
00000070) lambda - 1946.62085; bpp - 0.00120; dists - 0.12037; rdloss - 2.46147; perceptual_64INITIAL - 135.04330; perceptual_256FINAL - 100.85368; gen_gan - 0.49383; feature_matching - 4.80885; disc_gan - 0.31359
00000071) lambda - 1946.62085; bpp - 0.00120; dists - 0.12233; rdloss - 2.46335; perceptual_64INITIAL - 135.18938; perceptual_256FINAL - 101.05000; gen_gan - 0.49420; feature_matching - 4.82851; disc_gan - 0.31304
00000072) lambda - 1946.62085; bpp - 0.00120; dists - 0.11744; rdloss - 2.45989; perceptual_64INITIAL - 134.52043; perceptual_256FINAL - 100.65188; gen_gan - 0.49559; feature_matching - 4.81440; disc_gan - 0.31177
00000073) lambda - 1946.62085; bpp - 0.00120; dists - 0.11959; rdloss - 2.46384; perceptual_64INITIAL - 133.99962; perceptual_256FINAL - 100.67574; gen_gan - 0.49735; feature_matching - 4.83426; disc_gan - 0.31202
00000074) lambda - 1946.62085; bpp - 0.00121; dists - 0.12225; rdloss - 2.47028; perceptual_64INITIAL - 134.67422; perceptual_256FINAL - 100.66891; gen_gan - 0.49869; feature_matching - 4.83286; disc_gan - 0.31132
00000075) lambda - 1946.62085; bpp - 0.00121; dists - 0.12073; rdloss - 2.46774; perceptual_64INITIAL - 134.24568; perceptual_256FINAL - 100.28904; gen_gan - 0.50025; feature_matching - 4.83480; disc_gan - 0.30907
00000076) lambda - 1946.62085; bpp - 0.00121; dists - 0.11958; rdloss - 2.46650; perceptual_64INITIAL - 133.94362; perceptual_256FINAL - 99.80455; gen_gan - 0.49788; feature_matching - 4.81587; disc_gan - 0.31168
00000077) lambda - 1946.62085; bpp - 0.00121; dists - 0.11889; rdloss - 2.46914; perceptual_64INITIAL - 134.06157; perceptual_256FINAL - 100.01667; gen_gan - 0.50200; feature_matching - 4.84239; disc_gan - 0.30884
00000078) lambda - 1946.62085; bpp - 0.00121; dists - 0.11851; rdloss - 2.46682; perceptual_64INITIAL - 133.51622; perceptual_256FINAL - 99.78305; gen_gan - 0.50254; feature_matching - 4.84616; disc_gan - 0.30764
00000079) lambda - 1946.62085; bpp - 0.00121; dists - 0.11910; rdloss - 2.46685; perceptual_64INITIAL - 133.48827; perceptual_256FINAL - 99.44430; gen_gan - 0.50374; feature_matching - 4.83166; disc_gan - 0.30795
00000080) lambda - 1946.62085; bpp - 0.00121; dists - 0.12134; rdloss - 2.47592; perceptual_64INITIAL - 134.20734; perceptual_256FINAL - 100.01748; gen_gan - 0.50471; feature_matching - 4.85959; disc_gan - 0.30672
00000081) lambda - 1946.62085; bpp - 0.00121; dists - 0.11638; rdloss - 2.47061; perceptual_64INITIAL - 133.48822; perceptual_256FINAL - 99.82152; gen_gan - 0.50473; feature_matching - 4.85800; disc_gan - 0.30801
00000082) lambda - 1946.62085; bpp - 0.00121; dists - 0.11773; rdloss - 2.47227; perceptual_64INITIAL - 133.66505; perceptual_256FINAL - 99.63690; gen_gan - 0.50688; feature_matching - 4.85725; disc_gan - 0.30538
00000083) lambda - 1946.62085; bpp - 0.00121; dists - 0.11784; rdloss - 2.47413; perceptual_64INITIAL - 133.76395; perceptual_256FINAL - 99.64617; gen_gan - 0.50609; feature_matching - 4.86129; disc_gan - 0.30583
00000084) lambda - 1946.62085; bpp - 0.00122; dists - 0.11958; rdloss - 2.48550; perceptual_64INITIAL - 133.56929; perceptual_256FINAL - 99.96774; gen_gan - 0.51005; feature_matching - 4.88468; disc_gan - 0.30319
00000085) lambda - 1946.62085; bpp - 0.00121; dists - 0.12140; rdloss - 2.48342; perceptual_64INITIAL - 133.70773; perceptual_256FINAL - 100.10148; gen_gan - 0.50943; feature_matching - 4.88541; disc_gan - 0.30393
00000086) lambda - 1946.62085; bpp - 0.00121; dists - 0.11687; rdloss - 2.47916; perceptual_64INITIAL - 132.64284; perceptual_256FINAL - 99.58565; gen_gan - 0.51019; feature_matching - 4.87515; disc_gan - 0.30388
00000087) lambda - 1946.62085; bpp - 0.00121; dists - 0.11901; rdloss - 2.47532; perceptual_64INITIAL - 133.33379; perceptual_256FINAL - 99.16734; gen_gan - 0.50793; feature_matching - 4.85201; disc_gan - 0.30494
00000088) lambda - 1946.62085; bpp - 0.00121; dists - 0.11688; rdloss - 2.48156; perceptual_64INITIAL - 133.52385; perceptual_256FINAL - 99.62958; gen_gan - 0.51016; feature_matching - 4.87491; disc_gan - 0.30357
00000089) lambda - 1946.62085; bpp - 0.00122; dists - 0.11858; rdloss - 2.48626; perceptual_64INITIAL - 132.77042; perceptual_256FINAL - 99.67527; gen_gan - 0.51259; feature_matching - 4.88434; disc_gan - 0.30227
00000090) lambda - 1946.62085; bpp - 0.00122; dists - 0.12087; rdloss - 2.48612; perceptual_64INITIAL - 132.93364; perceptual_256FINAL - 99.00460; gen_gan - 0.50909; feature_matching - 4.87554; disc_gan - 0.29699
00000091) lambda - 1946.62085; bpp - 0.00122; dists - 0.11812; rdloss - 2.48731; perceptual_64INITIAL - 133.04633; perceptual_256FINAL - 99.32701; gen_gan - 0.51103; feature_matching - 4.89119; disc_gan - 0.29805
00000092) lambda - 1946.62085; bpp - 0.00122; dists - 0.11872; rdloss - 2.48704; perceptual_64INITIAL - 133.17876; perceptual_256FINAL - 99.39749; gen_gan - 0.51044; feature_matching - 4.89818; disc_gan - 0.29679
00000093) lambda - 1946.62085; bpp - 0.00122; dists - 0.12024; rdloss - 2.48696; perceptual_64INITIAL - 132.74565; perceptual_256FINAL - 99.03743; gen_gan - 0.51237; feature_matching - 4.89121; disc_gan - 0.29715
00000094) lambda - 1946.62085; bpp - 0.00122; dists - 0.11957; rdloss - 2.48911; perceptual_64INITIAL - 132.83876; perceptual_256FINAL - 98.98515; gen_gan - 0.51259; feature_matching - 4.88325; disc_gan - 0.29819
00000095) lambda - 1946.62085; bpp - 0.00122; dists - 0.11888; rdloss - 2.49384; perceptual_64INITIAL - 133.35388; perceptual_256FINAL - 99.24915; gen_gan - 0.51020; feature_matching - 4.89483; disc_gan - 0.30014
00000096) lambda - 1946.62085; bpp - 0.00122; dists - 0.11885; rdloss - 2.49041; perceptual_64INITIAL - 132.73878; perceptual_256FINAL - 99.33755; gen_gan - 0.51409; feature_matching - 4.90559; disc_gan - 0.29641
00000097) lambda - 1946.62085; bpp - 0.00121; dists - 0.11688; rdloss - 2.47924; perceptual_64INITIAL - 132.59079; perceptual_256FINAL - 98.60944; gen_gan - 0.51103; feature_matching - 4.87039; disc_gan - 0.29884
00000098) lambda - 1946.62085; bpp - 0.00121; dists - 0.11814; rdloss - 2.48322; perceptual_64INITIAL - 132.37709; perceptual_256FINAL - 98.77513; gen_gan - 0.51148; feature_matching - 4.88368; disc_gan - 0.29800
00000099) lambda - 1946.62085; bpp - 0.00121; dists - 0.11694; rdloss - 2.47650; perceptual_64INITIAL - 132.44916; perceptual_256FINAL - 98.46748; gen_gan - 0.51057; feature_matching - 4.86979; disc_gan - 0.29959
